id,should_trigger,prompt
t01,true,Use $bilingual-transcreator to adapt this Russian landing page into natural US English.
t02,true,"Перепиши этот английский email по-русски не дословно, сохрани оффер и живой тон."
t03,true,Localize these ad headlines from en-GB to ru-RU and give me three campaign routes.
t04,true,This translation sounds like Google Translate. Make it native English without changing the claims.
t05,true,Create matching Russian and English versions of this launch announcement using our two voice files.
t06,true,Transcreate the CTA and hero section for the Russian market.
n01,false,Translate this birth certificate word for word for a certified submission.
n02,false,Summarize this Russian article in Russian.
n03,false,Proofread this English paragraph for spelling only.
n04,false,Write a marketing plan for our new SaaS product.
